name,year_founded,industry,locality,country,current_employee_estimate
ibm,1911,information technology and services,"new york, new york, united states",united states,274047
tata consultancy services,1968,information technology and services,"bombay, maharashtra, india",india,190771
accenture,1989,information technology and services,"dublin, dublin, ireland",ireland,190689
us army,1800,military,"alexandria, virginia, united states",united states,162163
ey,1989,accounting,"london, greater london, united kingdom",united kingdom,158363
hewlett-packard,1939,information technology and services,"palo alto, california, united states",united states,127952
cognizant technology solutions,1994,information technology and services,"teaneck, new jersey, united states",united states,122031
walmart,1962,retail,"withee, wisconsin, united states",united states,120753
microsoft,1975,computer software,"redmond, washington, united states",united states,116196
at&t,1876,telecommunications,"dallas, texas, united states",united states,115188
united states air force,1947,defense & space,"randolph, texas, united states",united states,113997
pwc,1998,accounting,"new york, new york, united states",united states,111372
wells fargo,,financial services,"san francisco, california, united states",united states,109532
infosys,1981,information technology and services,"bangalore, karnataka, india",india,104752
deloitte,1900,management consulting,"new york, new york, united states",united states,104112
citi,1812,financial services,"new york, new york, united states",united states,101482
bank of america,1968,banking,"charlotte, north carolina, united states",united states,97357
jpmorgan chase & co.,1823,financial services,"new york, new york, united states",united states,95234
us navy,,military,"washington, district of columbia, united states",united states,94458
amazon,1994,internet,"seattle, washington, united states",united states,93247
apple,1976,consumer electronics,"cupertino, california, united states",united states,90095
siemens,1847,electrical/electronic manufacturing,"munich, bavaria, germany",germany,87381
oracle,1977,information technology and services,"redwood shores, california, united states",united states,85090
nokia,1865,telecommunications,"espoo, uusimaa, finland",finland,84327
education nationale,,public policy,"paris, île-de-france, france",france,84218
capgemini,1967,information technology and services,"france, aquitaine, france",france,84179
wipro technologies,1945,information technology and services,"bangalore, karnataka, india",india,78261
hsbc,1865,financial services,"london, greater london, united kingdom",united kingdom,75640
google,1998,internet,"mountain view, california, united states",united states,75109
united states postal service,,government administration,"washington, district of columbia, united states",united states,74357
mcdonald's corporation,1955,restaurants,"oak brook, illinois, united states",united states,68233
ericsson,,information technology and services,"kista, stockholm, sweden",sweden,67692
nhs,1948,hospital & health care,,,67564
boeing,1916,aviation & aerospace,"chicago, illinois, united states",united states,67261
vodafone,1982,telecommunications,"berks, west berkshire, united kingdom",united kingdom,66632
kaiser permanente,1945,hospital & health care,"oakland, california, united states",united states,65839
ford motor company,1903,automotive,"dearborn, michigan, united states",united states,65335
intel corporation,1968,semiconductors,"santa clara, california, united states",united states,64046
department of veterans affairs,1930,government administration,"washington, district of columbia, united states",united states,62685
cisco,1984,computer networking,"san jose, california, united states",united states,61803
general motors,,automotive,"detroit, michigan, united states",united states,61638
pepsico,1965,food & beverages,"purchase, new york, united states",united states,61040
target,1962,retail,"minneapolis, minnesota, united states",united states,60602
shell,1833,oil & energy,"the hague, zuid-holland, netherlands",netherlands,60324
hcl technologies,1991,information technology and services,"noida, uttar pradesh, india",india,59993
ups,1907,transportation/trucking/railroad,"atlanta, georgia, united states",united states,59712
pfizer,1848,pharmaceuticals,"new york, new york, united states",united states,59588
unilever,1872,consumer goods,"london, greater london, united kingdom",united kingdom,58819
nestlé,1866,food & beverages,"vevey, vaud, switzerland",switzerland,58538
unitedhealth group,1980,hospital & health care,"minneapolis, minnesota, united states",united states,57720
huawei technologies,1987,telecommunications,"shenzhen, guangdong, china",china,57255
dell,1984,information technology and services,"round rock, texas, united states",united states,55945
gsk,1830,pharmaceuticals,"hayes, hillingdon, united kingdom",united kingdom,54117
honeywell,1985,electrical/electronic manufacturing,"morristown, new jersey, united states",united states,51721
sap,1972,computer software,,,51441
schlumberger,1926,oil & energy,"houston, texas, united states",united states,50715
lockheed martin,1912,defense & space,"bethesda, maryland, united states",united states,50303
"ayatama energi, trisco nusantara",1999,design,,,48806
abb,,electrical/electronic manufacturing,"zurich, zurich, switzerland",switzerland,47434
american center of krasnodar,,education management,,,47345
starbucks,1971,retail,"seattle, washington, united states",united states,46523
promobroker agente de seguros y de fianzas s a de c v,,insurance,,,44926
morgan stanley,1935,financial services,"new york, new york, united states",united states,44799
the home depot,1977,retail,"atlanta, georgia, united states",united states,44630
independiente,,photography,,,44148
novartis,1996,pharmaceuticals,"basel, basel-city, switzerland",switzerland,44054
johnson & johnson,1887,hospital & health care,"new brunswick, new jersey, united states",united states,43985
bp,1909,oil & energy,"london, greater london, united kingdom",united kingdom,43657
schneider electric,1836,electrical/electronic manufacturing,"erlanger, kentucky, united states",united states,43240
state farm,1922,insurance,"bloomington, illinois, united states",united states,43096
secretaría de educación pública,,government administration,,,42795
dhl,1969,logistics and supply chain,"bonn, nordrhein-westfalen, germany",germany,42501
my home,,publishing,,,42341
td,1955,banking,"toronto, ontario, canada",canada,42136
ge,1892,electrical/electronic manufacturing,"fairfield, connecticut, united states",united states,42043
philips,1891,hospital & health care,"guildford, surrey, united kingdom",united kingdom,41732
ubs,1862,financial services,"zurich, zurich, switzerland",switzerland,41445
procter & gamble,1837,consumer goods,"cincinnati, ohio, united states",united states,40562
walgreens,1901,retail,"deerfield, illinois, united states",united states,40455
"keller williams realty, inc.",1983,real estate,"austin, texas, united states",united states,40325
"lowe's companies, inc.",1946,retail,"mooresville, north carolina, united states",united states,39741
verbum traducción y edición,,translation and localization,,,39679
united states marine corps,,military,"washington, district of columbia, united states",united states,38917
dell emc,1979,information technology and services,"hopkinton, massachusetts, united states",united states,38703
tech mahindra,1986,information technology and services,"pune, maharashtra, india",india,38631
verizon wireless,2000,telecommunications,"basking ridge, new jersey, united states",united states,38627
sanofi,,pharmaceuticals,"paris, île-de-france, france",france,38533
bnp paribas,1848,banking,"paris, île-de-france, france",france,37835
sodexo,1966,facilities services,,,37611
deutsche bank,1870,investment banking,"frankfurt, hessen, germany",germany,37595
tencent,1998,internet,"shenzhen, guangdong, china",china,37574
j.p. morgan,,financial services,"new york, new york, united states",united states,37431
verizon,1983,information technology and services,"basking ridge, new jersey, united states",united states,37368
l'oréal,,cosmetics,"paris, île-de-france, france",france,37319
kpmg,1987,accounting,"montvale, new jersey, united states",united states,36853
orange,1988,telecommunications,"paris, île-de-france, france",france,36340
linkedin,2003,internet,"mountain view, california, united states",united states,36309
barclays,,financial services,"london, greater london, united kingdom",united kingdom,36200
facebook,2004,internet,"menlo park, california, united states",united states,36149
northrop grumman corporation,1939,defense & space,"falls church, virginia, united states",united states,35965
fca fiat chrysler automobiles,1925,automotive,"turin, turin, italy",united kingdom,35891
adp,1949,human resources,"roseland, new jersey, united states",united states,35686
medtronic,1949,medical devices,"minneapolis, minnesota, united states",united states,35664
abbott,1980,hospital & health care,"illinois city, illinois, united states",united states,35603
chevron,1879,oil & energy,"san ramon, california, united states",united states,34995
roche,1896,biotechnology,"basel, basel-city, switzerland",switzerland,34844
american express,1850,financial services,"new york, new york, united states",united states,34816
samsung electronics,1938,electrical/electronic manufacturing,"none, south carolina, united states",united states,34021
macy's,1858,retail,"cincinnati, ohio, united states",united states,33795
thomson reuters,2008,information technology and services,"new york, new york, united states",united states,33745
ministerio de educación,,education management,,,33679
avon,1886,cosmetics,"new york, new york, united states",united states,33670
cgi,1976,information technology and services,"montréal, quebec, canada",canada,33615
cvs health,1963,pharmaceuticals,"woonsocket, rhode island, united states",united states,33408
halliburton,1919,oil & energy,"houston, texas, united states",united states,33250
atos,1997,information technology and services,"bezons, ile-de-france, france",france,32927
pcs informatica,,information technology and services,,,32673
ge healthcare,1892,hospital & health care,"buckingham, buckinghamshire, united kingdom",united kingdom,32636
csc,1959,information technology and services,"falls church, virginia, united states",united states,32601
merck,1891,pharmaceuticals,"kenilworth, new jersey, united states",united states,32210
kpmg,,financial services,"new york, new york, united states",united states,32208
banco santander,1857,banking,"boadilla del monte, madrid, spain",spain,32008
scotiabank,1832,banking,"toronto, ontario, canada",canada,31726
dxc technology,2017,information technology and services,,united states,31671
johnson controls,1885,mechanical or industrial engineering,"milwaukee, wisconsin, united states",united states,31630
posteamos.com,2012,broadcast media,,,31626
allstate,1931,insurance,"northbrook, illinois, united states",united states,31490
petrobras,1953,oil & energy,"rio de janeiro, rio de janeiro, brazil",brazil,31454
credit suisse,1856,banking,"zurich, zurich, switzerland",switzerland,31429
telefónica,1924,telecommunications,"madrid, madrid, spain",spain,31175
marriott international,1927,hospitality,"bethesda, maryland, united states",united states,31146
axa,,insurance,"paris, île-de-france, france",france,31068
3m health care,1902,mechanical or industrial engineering,"saint paul, minnesota, united states",united states,30937
standard chartered bank,,banking,"london, greater london, united kingdom",united kingdom,30830
xerox,1906,information technology and services,"norwalk, connecticut, united states",united states,30765
cbre,,real estate,"los angeles, california, united states",united states,30665
nyc department of education,,education management,"new york, new york, united states",united states,30526
goldman sachs,1869,investment banking,"new york, new york, united states",united states,30470
fidelity investments,1946,financial services,"boston, massachusetts, united states",united states,30346
icici bank,1994,banking,"bombay, maharashtra, india",india,30286
exxonmobil,1999,oil & energy,"irving, texas, united states",united states,30131
t-mobile,2002,telecommunications,"bellevue, washington, united states",united states,30100
aon,1987,financial services,"london, greater london, united kingdom",united kingdom,30079
royal bank of scotland,,banking,"edinburgh, edinburgh, united kingdom",united kingdom,29942
astrazeneca,1999,pharmaceuticals,"london, greater london, united kingdom",united kingdom,29930
nike,1972,sporting goods,"beaverton, oregon, united states",united states,29731
basf,1865,chemicals,"ludwigshafen, rheinland-pfalz, germany",germany,29673
hdfc bank,1994,banking,,,29653
best buy,1966,retail,"richfield, minnesota, united states",united states,29568
american airlines,1930,airlines/aviation,"fort worth, texas, united states",united states,29498
baker hughes,,oil & energy,"houston, texas, united states",united states,29481
the coca-cola company,1892,food & beverages,"atlanta, georgia, united states",united states,29278
genpact,1997,information technology and services,"new york, new york, united states",united states,29262
jll,,commercial real estate,"chicago, illinois, united states",united states,29101
rbc,1864,banking,"toronto, ontario, canada",canada,28889
u.s. bank,,banking,"minneapolis, minnesota, united states",united states,28763
larsen & toubro,,construction,"bombay, maharashtra, india",india,28206
continental,1871,automotive,"od, bayern, germany",germany,28156
pnc,2014,financial services,"pittsburgh, pennsylvania, united states",united states,28132
sprint,1899,telecommunications,"overland park, kansas, united states",united states,28008
saudi aramco,1933,oil & energy,"dhahran, eastern province, saudi arabia",saudi arabia,27631
g4s,1901,security and investigations,"crawley, west sussex, united kingdom",united kingdom,27599
airbus,2014,aviation & aerospace,"arlington, virginia, united states",united states,27548
capital one,1994,financial services,"mclean, virginia, united states",united states,27522
delta air lines,1928,airlines/aviation,"atlanta, georgia, united states",united states,27331
carrefour,,supermarkets,"boulogne-billancourt, ile-de-france, france",france,27313
ninguna,,"health, wellness and fitness",,,27288
merrill lynch,1914,financial services,"new york, new york, united states",united states,27206
mondelēz international,1903,food production,"deerfield, illinois, united states",united states,27152
bt,1981,telecommunications,"london, greater london, united kingdom",united kingdom,26894
h&m,1947,retail,"stockholm, stockholms lan, sweden",sweden,26331
anz,1835,banking,"melbourne, victoria, australia",australia,26156
farmers insurance,1928,insurance,"los angeles, california, united states",united states,26029
aecom,1990,civil engineering,"los angeles, california, united states",united states,26008
united states department of defense,1947,military,"washington, district of columbia, united states",united states,26000
metlife,1868,insurance,"new york, new york, united states",united states,25967
total,1924,oil & energy,"san diego, california, united states",united states,25780
ikea group,,retail,"malmö, skåne, sweden",sweden,25734
cargill,1865,food production,"wayzata, minnesota, united states",united states,25321
bae systems,1999,defense & space,"london, greater london, united kingdom",united kingdom,25166
united airlines,1926,airlines/aviation,"chicago, illinois, united states",united states,24967
lavoratore indipendente,,medical practice,,,24759
mary kay inc.,1963,cosmetics,"addison, texas, united states",united states,24699
liberty mutual insurance,1912,insurance,"boston, massachusetts, united states",united states,24623
comcast,1963,media production,"philadelphia, pennsylvania, united states",united states,24515
caterpillar inc.,1925,machinery,"peoria heights, illinois, united states",united states,24304
jacobs,1947,construction,"pasadena, california, united states",united states,24241
bny mellon,,financial services,"new york, new york, united states",united states,24183
raytheon,1922,defense & space,"waltham, massachusetts, united states",united states,23733
société générale,1864,banking,"paris, île-de-france, france",france,23484
